iter	MultiClass
170	0.1113966011
171	0.1113028937
172	0.1110746731
173	0.1109813893
174	0.1106959394
175	0.1104270898
176	0.1103023031
177	0.1100198602
178	0.1094817134
179	0.1092469121
180	0.1090376905
181	0.1088675336
182	0.1087400997
183	0.1085694506
184	0.1083292837
185	0.1079612003
186	0.1078097313
187	0.1076263234
188	0.1073600818
189	0.1072129924
190	0.1066550861
191	0.1063405333
192	0.1061653469
193	0.1059787323
194	0.1058451879
195	0.1056813844
196	0.1053500332
197	0.105041674
198	0.1049159546
199	0.1044854517
200	0.1042305893
201	0.103964963
202	0.1037326365
203	0.1035615017
204	0.1034416165
205	0.1032498559
206	0.1027578179
207	0.102541889
208	0.1022562538
209	0.1019702408
210	0.1016643268
211	0.1014649935
212	0.1012042381
213	0.1009586353
214	0.1008763367
215	0.1007419352
216	0.1005612144
217	0.1004458566
218	0.100275467
219	0.1000897043
220	0.09997906286
221	0.09970402935
222	0.09948825177
223	0.09932935387
224	0.09918606742
225	0.09907143366
226	0.09868901145
227	0.09853191398
228	0.0982836536
229	0.09800297047
230	0.09785225594
231	0.09773659563
232	0.09754902483
233	0.09735754326
234	0.09727559045
235	0.09713822876
236	0.09699239188
237	0.09679321619
238	0.09667976194
239	0.09642810399
240	0.09628647567
241	0.09595318819
242	0.09557243531
243	0.09545378083
244	0.09514447992
245	0.09503720552
246	0.09494902876
247	0.09480022546
248	0.09446670591
249	0.09409436979
250	0.09401795059
251	0.09383244834
252	0.0937369853
253	0.09340549659
254	0.09317763375
255	0.09297155686
256	0.0928898572
257	0.09279306834
258	0.09265262642
259	0.09251845163
260	0.09220387593
261	0.09196988884
262	0.09173643591
263	0.09163673165
264	0.09152834405
265	0.09141628385
266	0.09119094765
267	0.09096778698
268	0.09091427208
269	0.09066825777
270	0.09054265495
271	0.09019760602
272	0.09004446396
273	0.0898559958
274	0.08964658665
275	0.08958905629
276	0.08944213534
277	0.08931396801
278	0.08915910663
279	0.08899579227
280	0.08891769505
281	0.08876230381
282	0.08866193981
283	0.08843703085
284	0.08838039467
285	0.08810937088
286	0.0880143374
287	0.08785953317
288	0.08780977077
289	0.08766102509
290	0.08756867146
291	0.08727973104
292	0.08718596563
293	0.08699704131
294	0.08680571267
295	0.08658763394
296	0.08649300749
297	0.0863130318
298	0.08614509984
299	0.08591803664
300	0.08575968249
301	0.08564618553
302	0.08549247266
303	0.08529105647
304	0.08523006109
305	0.08498926757
306	0.08491927523
307	0.08476158306
308	0.08440137655
309	0.08426213169
310	0.08409128141
311	0.08399120643
312	0.08392742836
313	0.08379658033
314	0.08363872978
315	0.08323369909
316	0.08295907919
317	0.08271188184
318	0.08255157412
319	0.08243835673
320	0.08229062706
321	0.08204381905
322	0.08192994546
323	0.08184312598
324	0.08169017283
325	0.08158431336
326	0.08142248247
327	0.08123603914
328	0.08102629971
329	0.08094107677
330	0.08077614057
331	0.08068849821
332	0.08050329203
333	0.0804274349
334	0.08030452944
335	0.08018425783
336	0.07995487367
337	0.07976492398
338	0.07966276816
339	0.07963984278
340	0.07953721225
341	0.07944925347
342	0.07936540587
343	0.07925832465
344	0.07921553105
345	0.07909616196
346	0.07888499736
347	0.0788209613
348	0.07853198685
349	0.07835652862
350	0.07826551261
351	0.07805650715
352	0.0780074145
353	0.07771278679
354	0.07759824415
355	0.07747237188
356	0.07732302786
357	0.07713426091
358	0.0769466463
359	0.07661158642
360	0.07645503524
361	0.07630869795
362	0.0761129475
363	0.07599707155
364	0.07589418036
365	0.0757076834
366	0.07546222104
367	0.07532656393
368	0.07520956735
369	0.07506815123
370	0.07483851389
371	0.07455565658
372	0.07437703953
373	0.07425746473
374	0.07416278735
375	0.07398705576
376	0.07390343894
377	0.07374079418
378	0.07365529636
379	0.07342636689
380	0.07328555653
381	0.07315600163
382	0.07292395427
383	0.07277280437
384	0.0726984592
385	0.0726257234
386	0.07249725234
387	0.07240844047
388	0.07228037974
389	0.07217494514
390	0.07210865819
391	0.07195088873
392	0.07164086155
393	0.0715448316
394	0.0714649636
395	0.07135042025
396	0.07130120925
397	0.07116846151
398	0.07103090175
399	0.07074245462
400	0.07058788623
401	0.07044602303
402	0.070167685
403	0.07009104122
404	0.06983663184
405	0.06967274215
406	0.06952370587
407	0.06944738148
408	0.06935916205
409	0.06924908504
410	0.06914305141
411	0.06887735062
412	0.06879246802
413	0.06866002298
414	0.06849458222
415	0.06839249715
416	0.06815695576
417	0.06807436559
418	0.06799035423
419	0.06795271969
420	0.06787519424
421	0.06766570053
422	0.06755170222
423	0.06730015647
424	0.06721212133
425	0.06713271924
426	0.06705907902
427	0.06689061978
428	0.06680430616
429	0.06649891507
430	0.0663858459
431	0.06624040022
432	0.06611067878
433	0.06600727737
434	0.06592819802
435	0.06587475864
436	0.06574755434
437	0.06566282459
438	0.06563300456
439	0.06549208208
440	0.06542493007
441	0.06520091853
442	0.06515024419
443	0.06503412876
444	0.06492637724
445	0.06486785295
446	0.06474850385
447	0.06462616885
448	0.06455273242
449	0.06440337334
450	0.06434508441
451	0.06425068284
452	0.06409037014
453	0.06397339187
454	0.06379704666
455	0.06367834058
456	0.0635998393
457	0.06328368879
458	0.06322033807
459	0.0631104269
460	0.06297224926
461	0.0628208084
462	0.06276459806
463	0.06268701665
464	0.06253632705
465	0.06242447649
466	0.06232610161
467	0.0622055948
468	0.06201636748
469	0.0618290306
470	0.06172205003
471	0.06163718579
472	0.06155360138
473	0.06145093903
474	0.06118328196
475	0.06101267617
476	0.06085322088
477	0.06077276303
478	0.06071227905
479	0.06059184358
480	0.06055100149
481	0.06048719617
482	0.0604073002
483	0.0602411207
484	0.06010400015
485	0.06003723155
486	0.05986780576
487	0.05981991734
488	0.0597843823
489	0.05971917839
490	0.05956216886
491	0.05944233329
492	0.05939268995
493	0.0592763913
494	0.05916276978
495	0.05907853286
496	0.05899098925
497	0.05888932374
498	0.05877948626
499	0.05870211397
