"Policy_ID","Total_Distance","Drive_Score","Time_Day","Style_Score","Corner_Score","Acceleration_Score","Braking_Score","Total_Night_Time","Total_Time","Acceleration","Brake","Corner","Insured_Gender","Insured_Age","Claim"
"32",1359,39,125,18,9,16,26,38,79,"Low","Low","Low","M",42,"no"
"33",10646,70,97,80,84,83,58,24,301,"Low","High","High","F",21,"no"
"34",14069,58,98,93,92,88,89,28,473,"High","High","High","F",22,"no"
"35",5581,41,128,75,82,64,82,46,168,"Low","High","High","M",22,"no"
"36",10081,69,112,86,76,97,62,33,441,"High","High","High","M",22,"no"
"37",1031,8,140,6,9,16,7,39,26,"Low","Low","Low","F",26,"no"
"38",9237,74,109,20,32,16,16,39,499,"Low","Low","Low","M",22,"no"
"39",14705,65,87,78,80,47,71,31,316,"Low","High","High","M",21,"no"
"40",9914,75,116,72,38,84,90,32,552,"Low","High","Low","F",32,"no"
"41",6930,95,100,30,22,61,42,25,330,"Low","Low","Low","M",39,"no"
"42",10273,93,96,33,34,55,43,18,249,"Low","Low","Low","M",39,"no"
"43",11040,58,51,89,91,67,80,13,245,"Low","High","High","M",40,"no"
"44",14495,78,89,66,71,32,64,15,538,"Low","High","High","M",26,"no"
"45",17855,76,34,38,41,16,42,19,369,"Low","High","Low","M",22,"no"
"46",12180,39,136,52,65,63,30,40,265,"Low","High","High","F",23,"no"
"47",3836,85,101,51,60,60,45,33,275,"Low","Low","Low","F",38,"yes"
"48",16770,49,109,97,97,95,96,32,538,"High","High","High","M",20,"no"
"49",37525,53,120,74,82,57,75,41,1063,"Low","High","High","F",23,"no"
"50",5423,31,128,88,91,81,97,27,121,"Low","High","High","M",20,"no"
"51",5929,70,94,20,25,16,24,22,116,"Low","Low","Low","F",23,"no"
"52",14433,45,117,99,99,96,93,42,532,"High","High","High","M",20,"no"
"53",7394,65,120,90,90,81,94,40,296,"Low","High","High","M",21,"yes"
"54",27201,53,112,83,82,92,94,34,820,"Low","High","High","F",20,"yes"
"55",10569,38,113,86,82,95,82,26,330,"High","High","High","M",20,"yes"
"56",11273,72,91,71,76,16,42,35,228,"Low","High","High","M",25,"no"
"57",12862,61,113,83,85,63,72,41,344,"Low","High","High","M",22,"no"
"58",21801,49,116,91,92,95,90,44,817,"High","High","High","M",18,"no"
"59",3453,23,80,53,49,65,59,22,214,"Low","High","High","F",21,"no"
"60",5413,69,95,93,93,93,86,33,165,"High","High","High","F",20,"no"
"61",1787,88,79,40,47,16,43,22,75,"Low","Low","Low","M",21,"no"
"62",13592,70,108,77,79,77,62,31,318,"Low","High","High","M",20,"no"
"63",9502,70,116,82,86,49,77,40,347,"Low","High","High","M",23,"no"
"64",16118,74,106,56,57,61,51,43,465,"Low","High","High","M",22,"yes"
"65",4191,82,100,89,89,95,88,16,248,"Low","High","High","M",29,"no"
"66",30845,73,104,74,70,84,78,24,543,"Low","High","High","M",28,"no"
"67",7539,90,96,90,38,99,47,5,226,"High","High","Low","M",24,"no"
"68",39459,73,100,67,69,61,73,23,1084,"Low","High","High","F",32,"no"
"69",14085,56,109,96,97,94,100,32,343,"High","High","High","M",19,"no"
"70",10888,60,124,88,92,49,74,46,392,"Low","High","High","M",24,"no"
"71",18082,76,74,32,50,16,32,19,391,"Low","Low","High","F",27,"yes"
"72",12443,67,101,81,87,77,91,23,622,"Low","High","High","M",50,"no"
"73",6163,97,96,23,30,16,26,32,294,"Low","Low","Low","M",54,"no"
"74",116,8,140,29,45,16,7,36,12,"Low","Low","Low","M",31,"no"
"75",9659,87,93,75,81,54,47,23,233,"Low","Low","High","F",19,"no"
"76",5416,93,96,57,22,52,84,12,267,"Low","High","Low","M",31,"no"
"77",14766,53,94,91,90,85,92,25,519,"Low","High","High","F",26,"yes"
"78",12450,83,120,42,51,36,32,42,251,"Low","Low","High","M",24,"no"
"79",3751,89,104,17,26,16,18,32,85,"Low","Low","Low","F",28,"no"
"80",8722,34,124,100,100,16,57,26,282,"Low","High","High","F",26,"no"
"81",13109,51,124,95,94,62,92,35,553,"Low","High","High","F",21,"no"
"82",14699,70,101,81,58,97,84,30,620,"High","High","High","F",24,"no"
"83",12412,92,96,18,20,16,25,21,424,"Low","Low","Low","M",25,"no"
"84",19730,73,116,33,35,72,27,38,734,"Low","Low","Low","F",21,"no"
"85",830,10,144,70,74,41,69,47,31,"Low","High","High","M",23,"no"
"86",27252,64,108,80,78,63,63,33,561,"Low","High","High","F",20,"no"
"87",15950,81,89,72,75,67,63,7,471,"Low","Low","High","M",34,"no"
"88",30355,42,91,96,97,92,90,29,719,"High","High","High","M",18,"no"
"89",8655,80,109,37,43,75,27,35,260,"Low","Low","Low","F",26,"no"
"90",10063,88,96,58,63,51,63,15,267,"Low","High","High","M",30,"no"
"91",5582,87,87,60,30,16,85,23,372,"Low","High","Low","F",30,"no"
"92",2853,98,61,6,9,16,7,4,151,"Low","Low","Low","F",34,"no"
"93",15923,54,104,93,94,85,88,20,482,"High","High","High","M",23,"yes"
"94",32175,49,112,87,90,62,42,41,731,"Low","High","High","M",24,"no"
"95",17232,48,132,79,80,89,85,47,549,"High","High","High","M",24,"no"
"96",12734,79,106,52,60,16,43,39,429,"Low","High","High","F",21,"no"
"97",6565,82,90,75,80,55,63,12,156,"Low","Low","High","M",22,"no"
"98",17364,52,128,79,86,46,86,50,788,"Low","High","High","M",21,"no"
"99",6407,86,84,62,63,58,69,23,231,"Low","High","High","M",66,"no"
"100",19761,55,105,82,81,38,73,29,390,"Low","High","High","M",27,"no"
"101",11535,53,70,92,93,87,89,23,368,"Low","High","High","F",21,"no"
"102",294,14,120,80,82,95,68,28,240,"Low","High","High","M",20,"no"
"103",11334,54,91,94,83,99,98,21,353,"High","High","High","M",20,"no"
"104",12352,82,104,68,71,84,63,16,338,"High","High","High","F",28,"no"
"105",4588,89,75,68,65,80,81,22,259,"Low","High","High","M",26,"no"
"106",19572,43,120,99,99,86,97,34,555,"High","High","High","M",19,"no"
"107",3635,84,113,69,51,83,86,41,143,"Low","High","Low","F",23,"no"
"108",7786,62,109,100,100,88,95,25,216,"Low","High","High","M",19,"no"
"109",8763,91,108,32,37,64,31,30,166,"Low","Low","Low","F",24,"no"
"110",15848,69,91,63,36,63,88,36,434,"Low","High","Low","F",21,"no"
"111",11582,70,97,85,84,81,92,22,287,"Low","High","High","M",19,"no"
"112",4916,72,59,49,50,57,46,19,221,"Low","Low","High","F",19,"no"
"113",13555,67,101,62,60,54,75,18,281,"Low","High","High","F",24,"yes"
"114",7484,91,108,37,23,47,60,29,264,"Low","High","Low","F",51,"no"
"115",10066,90,96,53,22,46,79,10,428,"Low","High","Low","F",24,"no"
"116",9659,71,93,90,89,37,94,15,361,"Low","High","High","F",20,"no"
"117",19669,78,100,60,69,39,54,26,738,"Low","High","High","F",28,"no"
"118",8193,56,113,89,88,87,96,36,441,"Low","High","High","M",27,"yes"
"119",8163,73,101,87,85,16,94,28,332,"Low","High","High","M",22,"no"
"120",21234,38,113,95,96,91,89,36,779,"High","High","High","F",23,"no"
"121",29786,84,100,33,35,16,37,22,607,"Low","High","Low","F",28,"yes"
"122",8804,52,109,98,99,94,95,48,348,"High","High","High","M",22,"no"
"123",15465,55,128,83,85,78,76,44,420,"Low","High","High","F",20,"no"
"124",7244,72,97,83,85,74,82,27,167,"Low","Low","High","M",22,"no"
"125",18665,77,120,43,56,16,28,37,381,"Low","Low","High","M",20,"no"
"126",6205,95,96,44,40,64,59,16,260,"Low","High","Low","M",37,"no"
"127",7687,71,105,47,52,54,53,21,343,"Low","Low","High","F",25,"yes"
"128",11042,70,113,76,79,67,74,26,310,"Low","High","High","F",32,"no"
"129",12058,81,116,54,60,71,45,32,474,"Low","Low","High","M",20,"yes"
"130",12370,69,100,86,72,96,94,21,454,"High","High","High","F",23,"no"
"131",13578,80,104,56,41,41,81,25,621,"Low","High","Low","M",53,"no"
"132",17755,82,116,25,36,42,19,40,522,"Low","Low","Low","M",33,"no"
"133",25658,68,108,66,70,85,71,24,672,"High","High","High","M",22,"yes"
"134",17102,74,128,50,53,16,56,50,450,"Low","High","High","M",27,"no"
"135",10610,53,132,92,90,98,94,53,361,"High","High","High","M",22,"yes"
"136",5219,57,132,99,100,94,99,52,179,"High","High","High","M",19,"no"
"137",7055,65,113,97,96,52,46,40,233,"Low","Low","High","M",21,"no"
"138",10910,81,116,57,52,54,75,36,571,"Low","High","High","M",31,"yes"
"139",4698,90,112,55,61,64,67,28,258,"Low","High","Low","M",34,"no"
"140",10342,56,120,97,98,83,91,43,265,"Low","High","High","M",21,"no"
"141",2168,98,79,18,9,16,26,12,63,"Low","Low","Low","M",24,"no"
"142",13281,48,113,91,93,96,93,35,344,"High","High","High","F",21,"no"
"143",6795,92,101,35,24,16,56,35,426,"Low","Low","Low","F",26,"no"
"144",14005,84,128,19,24,47,21,52,253,"Low","Low","Low","M",26,"no"
"145",6858,82,105,40,51,36,33,24,136,"Low","Low","Low","F",25,"no"
"146",13925,60,97,96,97,92,87,27,348,"High","High","High","M",19,"no"
"147",2691,71,58,85,87,67,71,3,182,"Low","Low","High","M",30,"no"
"148",15343,63,108,87,76,87,98,37,769,"Low","High","High","F",21,"yes"
"149",7345,93,100,82,84,49,81,15,230,"Low","High","High","F",35,"no"
"150",2469,86,94,59,9,16,85,24,136,"Low","High","Low","F",41,"no"
"151",13825,82,104,63,48,89,73,23,323,"Low","High","Low","M",27,"no"
"152",6446,90,112,47,39,16,73,24,276,"Low","High","Low","M",23,"no"
"153",17692,67,105,75,74,68,85,32,985,"Low","High","High","F",27,"no"
"154",17330,78,110,26,36,38,23,40,376,"Low","Low","Low","F",42,"no"
"155",9122,77,108,61,63,16,59,31,315,"Low","High","High","F",20,"no"
"156",7776,83,116,31,37,65,37,23,196,"Low","Low","Low","F",23,"no"
"157",11658,87,90,43,52,58,40,19,226,"Low","Low","High","M",19,"yes"
"158",24833,54,116,80,74,84,85,44,693,"High","High","High","F",19,"no"
"159",14536,72,100,73,76,87,46,22,475,"Low","High","High","M",22,"no"
"160",16399,81,104,51,63,16,34,28,494,"Low","Low","High","F",22,"no"
"161",7783,84,94,19,9,16,28,23,344,"Low","Low","Low","F",26,"no"
"162",9266,82,102,55,61,16,57,34,358,"Low","High","High","F",22,"no"
"163",5189,79,100,92,94,88,78,19,175,"High","High","High","M",20,"no"
"164",5127,36,110,97,95,75,99,38,265,"Low","High","High","M",20,"no"
"165",16207,75,91,55,52,61,65,36,440,"Low","High","High","M",28,"no"
"166",6233,94,82,48,49,61,59,12,238,"Low","Low","Low","F",20,"no"
"167",12837,76,73,67,56,88,78,18,384,"Low","High","High","M",20,"no"
"168",18189,51,105,99,99,99,99,33,659,"High","High","High","M",58,"no"
"169",15095,52,94,97,98,95,91,26,479,"High","High","High","M",20,"no"
"170",17376,82,104,48,49,57,51,22,391,"Low","High","High","M",28,"no"
"171",12608,73,112,66,64,52,84,27,307,"Low","High","High","F",50,"no"
"172",7635,77,116,77,77,16,80,39,221,"Low","High","High","M",22,"no"
"173",17796,73,97,33,25,46,50,7,419,"Low","High","Low","F",41,"no"
"174",5286,65,112,89,89,81,68,24,219,"Low","High","High","M",37,"yes"
"175",17561,75,112,63,69,34,57,30,351,"Low","High","High","F",21,"no"
"176",6629,93,100,43,59,16,42,22,171,"Low","Low","Low","M",68,"no"
"177",12602,55,120,96,97,98,67,42,348,"High","High","High","M",21,"no"
"178",16735,74,65,64,63,57,68,17,505,"Low","High","High","F",25,"yes"
"179",7645,91,90,37,40,16,37,25,200,"Low","Low","Low","M",32,"no"
"180",8191,88,100,58,59,49,70,13,202,"Low","High","High","M",29,"no"
"181",2576,38,128,21,35,16,7,40,68,"Low","Low","Low","F",20,"no"
"182",6153,96,93,28,27,16,40,20,201,"Low","Low","Low","F",38,"no"
"183",8723,88,109,27,31,70,22,28,270,"Low","Low","Low","F",20,"no"
"184",13750,72,112,70,61,50,88,34,560,"Low","High","High","F",27,"yes"
"185",13858,74,104,71,74,81,68,22,502,"Low","High","High","M",19,"yes"
"186",2474,87,104,55,9,93,41,8,160,"High","Low","Low","M",62,"no"
"187",14163,46,132,98,95,99,99,50,827,"High","High","High","M",20,"no"
"188",4342,88,108,28,23,55,40,13,123,"Low","Low","Low","M",52,"no"
"189",11695,87,116,19,22,45,22,40,416,"Low","Low","Low","M",29,"no"
"190",5384,90,112,48,41,16,72,40,190,"Low","High","Low","M",34,"no"
"191",639,38,76,100,100,100,100,19,340,"High","High","High","F",20,"no"
"192",5740,64,116,99,99,93,95,34,267,"Low","High","High","M",24,"no"
"193",2761,2,144,46,52,64,45,39,69,"Low","High","High","M",20,"yes"
"194",847,11,133,68,49,91,55,32,37,"High","High","High","M",22,"no"
"195",19172,82,101,46,61,16,19,44,332,"Low","Low","High","M",21,"no"
"196",10043,75,116,78,71,69,87,37,338,"Low","High","High","M",24,"no"
"197",16904,75,100,68,67,80,82,24,830,"High","High","High","F",26,"yes"
"198",12400,53,101,72,79,80,59,12,186,"Low","High","High","M",38,"no"
"199",12998,58,116,78,77,90,88,34,483,"High","High","High","F",28,"no"
"200",29617,67,63,53,69,40,51,28,612,"Low","High","High","M",21,"yes"
"201",9208,54,109,81,82,78,85,22,314,"Low","High","High","M",21,"no"
"202",16879,74,124,56,53,81,53,44,567,"Low","High","High","M",27,"no"
"203",4092,25,140,35,47,70,30,51,147,"Low","Low","High","F",22,"no"
"204",2704,94,94,47,57,77,17,35,108,"Low","Low","Low","F",60,"no"
"205",6987,31,128,83,83,86,91,43,364,"High","High","High","F",20,"no"
"206",17799,76,104,66,66,55,74,28,379,"Low","High","High","F",28,"no"
"207",21296,80,100,54,46,89,36,17,685,"High","Low","High","M",20,"no"
"208",9504,71,102,76,78,77,81,30,477,"Low","High","High","M",26,"no"
"209",11843,59,98,95,96,96,92,23,549,"High","High","High","M",20,"no"
"210",8541,39,120,84,84,65,86,29,274,"Low","High","High","M",20,"no"
"211",29005,42,77,91,84,97,97,29,729,"High","High","High","M",30,"no"
"212",5680,96,104,16,9,16,23,39,167,"Low","Low","Low","M",24,"no"
"213",15206,46,124,98,98,85,96,43,926,"Low","High","High","M",21,"no"
"214",17697,68,117,62,60,80,69,42,482,"Low","High","High","F",26,"yes"
"215",8549,80,108,56,63,47,68,21,310,"Low","High","High","F",20,"no"
"216",9599,91,90,28,20,66,39,24,219,"Low","Low","Low","F",22,"no"
"217",5633,92,73,40,41,77,36,22,463,"Low","Low","Low","M",35,"no"
"218",10955,43,128,72,72,61,68,59,632,"Low","High","High","M",19,"no"
"219",10178,82,101,29,36,44,31,24,328,"Low","Low","Low","M",26,"no"
"220",12708,83,93,64,29,59,86,21,529,"Low","High","Low","M",22,"yes"
"221",3105,100,96,18,9,16,26,16,199,"Low","Low","Low","F",58,"no"
"222",3223,80,112,85,82,16,96,34,166,"Low","High","High","F",25,"no"
"223",13419,71,116,73,69,76,84,37,647,"Low","High","High","M",20,"yes"
"224",17105,70,116,64,61,82,71,27,472,"Low","High","High","M",21,"yes"
"225",8791,60,56,91,85,98,95,20,371,"High","High","High","F",24,"yes"
"226",19601,52,112,96,95,88,96,30,593,"High","High","High","M",35,"no"
"227",9314,83,104,75,43,73,96,23,257,"Low","High","Low","F",46,"no"
"228",1501,9,144,67,58,90,62,55,83,"High","High","High","M",20,"no"
"229",13611,52,116,86,82,92,89,32,393,"High","High","High","M",22,"no"
"230",5811,94,96,54,51,82,58,31,235,"Low","High","Low","M",35,"no"
"231",8856,75,68,82,78,74,86,20,283,"Low","High","High","F",24,"no"
"232",15735,76,69,56,48,67,73,19,292,"Low","High","High","M",24,"no"
"233",14646,86,90,22,26,42,28,24,508,"Low","Low","Low","M",28,"no"
"234",6766,89,112,55,58,67,59,33,236,"Low","High","Low","M",19,"no"
"235",15297,53,98,42,39,49,60,30,445,"Low","High","Low","M",42,"no"
"236",26302,82,108,27,36,56,24,26,645,"Low","Low","Low","M",19,"no"
"237",6599,91,101,37,46,64,52,19,162,"Low","Low","High","F",20,"no"
"238",7692,63,74,73,77,69,35,30,286,"Low","Low","High","M",23,"no"
"239",14952,85,82,47,53,16,49,20,401,"Low","High","Low","F",20,"no"
"240",5712,85,83,43,48,54,40,13,167,"Low","Low","Low","M",27,"no"
"241",5654,90,61,51,59,65,44,5,180,"Low","Low","High","M",21,"no"
"242",20483,88,96,17,9,38,22,22,580,"Low","Low","Low","F",34,"no"
"243",8867,85,100,18,26,37,20,5,227,"Low","Low","Low","M",35,"no"
"244",5610,79,73,69,67,87,46,24,256,"High","High","High","F",32,"no"
"245",13973,66,109,83,79,84,87,50,363,"Low","High","High","M",37,"no"
"246",9746,87,98,45,46,50,50,28,279,"Low","High","High","F",25,"no"
"247",13342,64,105,86,89,74,67,32,346,"Low","High","High","F",24,"no"
"248",8356,83,83,70,75,80,54,23,233,"Low","High","High","F",18,"no"
"249",6201,52,120,32,28,69,38,6,241,"Low","Low","Low","M",39,"no"
"250",24594,80,104,52,52,56,62,29,638,"Low","High","High","M",21,"no"
"251",15027,74,104,72,62,16,88,28,703,"Low","High","High","M",21,"no"
"252",4479,99,96,14,19,16,16,16,187,"Low","Low","Low","F",24,"no"
"253",14429,61,112,86,79,71,94,26,464,"Low","High","High","F",34,"no"
"254",8438,90,100,54,57,50,63,8,243,"Low","High","High","F",31,"no"
"255",8057,90,96,60,51,82,69,11,324,"High","High","High","M",65,"no"
"256",16765,67,128,65,73,52,57,42,524,"Low","High","High","M",24,"no"
"257",5121,94,108,31,30,16,45,29,152,"Low","Low","Low","F",22,"no"
"258",23920,57,114,74,76,89,35,44,496,"High","High","High","M",21,"no"
"259",1689,69,103,45,50,43,47,48,47,"Low","Low","Low","F",22,"no"
"260",16644,63,45,70,70,90,47,20,286,"High","High","High","M",22,"no"
"261",4267,31,128,99,99,73,89,42,376,"Low","High","High","M",24,"yes"
"262",607,7,144,15,9,41,19,66,28,"Low","Low","Low","F",29,"no"
"263",8092,67,105,26,23,16,40,15,198,"Low","Low","Low","F",19,"no"
"264",24348,67,95,94,96,50,33,31,598,"Low","High","High","M",22,"no"
"265",10798,68,113,72,25,56,94,34,445,"Low","High","Low","F",20,"yes"
"266",13391,40,117,96,97,64,61,39,396,"Low","High","High","M",20,"no"
"267",6752,90,90,38,43,45,43,26,207,"Low","Low","Low","F",45,"no"
"268",8085,88,93,59,67,76,48,19,236,"Low","Low","High","M",38,"no"
"269",10494,69,65,77,74,80,92,21,527,"Low","High","High","F",47,"no"
"270",10562,77,101,78,84,16,42,24,338,"Low","Low","High","M",31,"no"
"271",18148,64,104,94,95,85,90,23,671,"High","High","High","M",19,"no"
"272",12282,74,100,86,55,98,95,21,392,"High","High","High","F",32,"no"
"273",17062,81,98,46,31,56,73,32,482,"Low","High","Low","F",22,"no"
"274",13515,56,80,89,87,57,74,27,438,"Low","High","High","M",25,"no"
"275",30132,44,56,82,84,69,71,24,523,"Low","High","High","M",23,"yes"
"276",15116,79,128,38,50,16,47,44,549,"Low","High","High","M",25,"no"
"277",2709,66,106,79,82,80,71,43,95,"Low","Low","High","M",22,"no"
"278",4951,88,124,90,81,99,81,40,248,"High","High","High","F",47,"no"
"279",15562,72,108,67,75,48,29,18,620,"Low","Low","High","M",38,"no"
"280",18951,55,113,80,80,60,89,40,801,"Low","High","High","F",20,"no"
"281",18859,77,84,39,40,67,45,31,524,"Low","High","Low","F",51,"no"
"282",626,40,132,6,9,16,7,46,42,"Low","Low","Low","F",27,"no"
"283",7256,58,113,97,98,54,72,40,241,"Low","Low","High","M",20,"no"
"284",789,62,102,17,9,16,24,26,31,"Low","Low","Low","M",21,"no"
"285",8221,79,112,59,60,43,71,12,175,"Low","High","High","M",21,"no"
"286",6179,86,112,66,57,85,63,38,222,"Low","Low","High","M",21,"no"
"287",30047,65,117,57,53,89,40,55,761,"High","High","High","M",23,"no"
"288",5765,23,124,59,66,74,51,31,182,"Low","High","High","M",30,"no"
"289",15830,62,116,71,78,16,81,43,628,"Low","High","High","F",22,"yes"
"290",10365,83,88,66,40,86,79,28,556,"High","High","Low","M",27,"yes"
"291",12485,87,112,33,27,56,50,34,421,"Low","High","Low","M",21,"yes"
"292",4743,18,140,22,35,16,24,41,171,"Low","Low","Low","M",24,"no"
"293",17156,50,91,84,83,58,82,34,465,"Low","High","High","M",20,"no"
"294",21540,42,140,78,75,72,89,58,890,"Low","High","High","F",21,"no"
"295",11213,74,98,70,72,66,68,35,437,"Low","High","High","M",24,"yes"
"296",3940,75,120,99,99,78,99,40,354,"Low","High","High","M",23,"no"
"297",15142,69,100,81,67,96,90,19,734,"High","High","High","M",20,"yes"
"298",13276,84,108,34,48,58,38,27,440,"Low","Low","Low","M",20,"no"
"299",3869,47,96,89,87,84,94,20,133,"Low","High","High","F",21,"no"
"300",5131,79,83,79,84,87,69,25,223,"Low","High","High","M",20,"no"
"301",16382,73,112,71,59,81,90,34,632,"High","High","High","M",20,"no"
"302",21374,84,104,39,47,52,41,35,611,"Low","High","Low","M",29,"no"
"303",25295,54,120,81,83,83,82,37,617,"Low","High","High","F",20,"no"
"304",8156,67,120,91,86,98,90,38,412,"High","High","High","F",19,"no"
"305",12144,78,116,61,38,16,85,32,429,"Low","High","Low","F",35,"no"
"306",2474,80,87,27,9,16,43,22,144,"Low","Low","Low","F",20,"yes"
"307",10364,28,113,88,90,87,87,26,361,"High","High","High","M",29,"no"
"308",40377,85,96,35,26,35,52,19,782,"Low","High","Low","F",29,"no"
"309",8496,52,112,84,46,99,24,27,233,"Low","Low","Low","F",31,"no"
"310",8729,72,100,91,90,93,84,28,253,"High","High","High","F",20,"no"
"311",7367,90,116,46,51,16,53,47,196,"Low","Low","Low","F",23,"no"
"312",7606,87,91,55,53,62,59,28,270,"Low","Low","Low","M",32,"no"
"313",1599,81,100,96,96,97,96,12,45,"High","High","High","M",21,"no"
"314",3234,82,113,60,53,76,69,43,191,"Low","Low","Low","M",33,"no"
"315",8222,88,112,50,58,60,56,31,270,"Low","Low","High","M",31,"no"
"316",23569,48,116,90,93,77,53,41,574,"Low","High","High","M",20,"no"
"317",3854,94,116,37,43,34,35,43,141,"Low","Low","Low","M",18,"no"
"318",11180,70,62,75,78,86,77,27,377,"High","High","High","M",21,"no"
"319",17397,72,104,74,41,81,95,25,856,"Low","High","High","F",24,"no"
"320",13066,65,100,94,95,94,97,30,455,"High","High","High","M",28,"no"
"321",13766,35,125,86,76,98,91,51,550,"High","High","High","M",25,"no"
"322",1757,12,140,26,29,55,32,56,59,"Low","Low","Low","M",20,"no"
"323",4819,97,100,26,32,16,24,12,224,"Low","Low","Low","M",35,"no"
"324",12034,55,124,99,97,85,99,38,409,"High","High","High","M",22,"no"
"325",15166,80,112,44,53,72,57,26,545,"Low","High","High","M",21,"no"
"326",11227,78,109,36,35,39,50,24,404,"Low","Low","Low","M",21,"yes"
"327",10922,67,105,82,89,40,76,29,503,"Low","High","High","F",19,"no"
"328",16306,63,80,75,83,34,79,20,494,"Low","High","High","F",23,"no"
"329",20904,68,116,67,65,71,67,37,597,"Low","High","High","F",21,"no"
"330",13473,60,88,70,68,71,80,24,300,"Low","High","High","M",18,"no"
"331",11855,70,62,28,40,16,20,17,269,"Low","Low","Low","F",19,"no"
"332",15297,61,105,68,69,92,72,38,414,"High","High","High","M",21,"yes"
"333",9598,55,105,91,94,76,70,43,333,"Low","High","High","M",21,"no"
"334",15716,70,112,71,66,72,80,28,470,"Low","High","High","M",24,"no"
"335",11230,90,104,28,32,50,34,25,327,"Low","Low","Low","F",38,"yes"
"336",22251,83,116,30,19,16,49,47,644,"Low","High","Low","M",33,"no"
"337",5507,49,128,33,48,16,36,41,198,"Low","Low","High","M",34,"no"
"338",12092,74,96,84,81,96,72,18,414,"High","High","High","M",29,"no"
"339",14247,91,96,21,29,33,25,8,306,"Low","Low","Low","M",56,"no"
"340",6337,50,106,39,41,72,45,18,154,"Low","High","High","M",21,"yes"
"341",12093,59,124,96,96,89,95,37,450,"High","High","High","M",19,"no"
"342",14511,78,105,49,39,40,75,36,551,"Low","High","Low","M",20,"no"
"343",7380,84,112,65,59,55,83,30,319,"Low","High","High","F",19,"no"
"344",10441,82,116,58,66,16,46,30,466,"Low","Low","High","M",32,"no"
"345",12491,63,104,99,99,99,99,24,484,"High","High","High","F",21,"no"
"346",7179,83,120,60,45,16,84,32,215,"Low","High","Low","F",23,"no"
"347",9167,52,117,81,81,45,86,33,390,"Low","High","High","F",20,"yes"
"348",8885,91,104,38,38,43,53,26,271,"Low","Low","Low","F",29,"no"
"349",5189,79,93,86,71,99,84,19,337,"High","Low","Low","F",31,"no"
"350",23582,50,120,78,74,94,76,40,592,"High","High","High","M",23,"yes"
"351",16848,70,100,86,90,79,63,22,311,"High","High","High","M",20,"no"
"352",6950,92,96,51,41,43,75,11,347,"Low","High","Low","F",30,"no"
"353",15987,68,112,69,77,58,56,28,374,"Low","High","High","F",21,"no"
"354",20438,75,112,66,75,74,54,27,350,"Low","High","High","M",19,"no"
"355",1358,83,112,84,82,16,93,37,84,"Low","High","Low","M",34,"no"
"356",13319,59,98,93,93,59,87,32,299,"Low","High","High","F",55,"yes"
"357",13301,61,108,94,93,97,95,29,445,"High","High","High","M",21,"yes"
