duration,acc.death.rider,gender,premium.frequency,risk.state,underwriting.age,living.place,annual.premium,DJIA,surrender,allcause
0.05,NoRider,Female,InfraAnnual,NonSmoker,Middle,EastCoast,-0.69,1.97,1,1
0.05,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.24,0.09,1,1
0.05,NoRider,Female,Other,NonSmoker,Young,Other,1.47,0.09,1,1
0.05,NoRider,Male,InfraAnnual,Smoker,Middle,Other,-0.48,-1.11,1,1
0.05,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,0.11,1.72,1,1
0.05,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,0.13,1.72,1,1
0.05,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,1.22,-0.6,1,1
0.05,NoRider,Male,Annual,Smoker,Old,Other,0.16,0.45,1,1
0.05,NoRider,Female,Other,NonSmoker,Young,Other,-0.58,0.45,0,1
0.05,NoRider,Male,InfraAnnual,Smoker,Middle,EastCoast,-0.17,0.13,1,1
0.07,NoRider,Female,InfraAnnual,NonSmoker,Young,EastCoast,-0.39,2.09,1,1
0.07,NoRider,Female,Annual,NonSmoker,Young,Other,-0.43,1.06,1,1
0.07,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.01,1.06,1,1
0.07,NoRider,Male,InfraAnnual,NonSmoker,Old,Other,1.02,2.09,1,1
0.07,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,0.76,1.87,1,1
0.07,Rider,Male,InfraAnnual,Smoker,Young,EastCoast,0.42,1.87,1,1
0.07,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,0.8,0.49,1,1
0.07,Rider,Female,InfraAnnual,NonSmoker,Young,Other,-0.83,2.43,1,1
0.07,NoRider,Female,Annual,Smoker,Young,Other,0.43,1.72,1,1
0.07,NoRider,Male,Other,NonSmoker,Young,Other,-0.87,0.45,1,1
0.07,NoRider,Female,Annual,NonSmoker,Old,Other,-1.0,-0.16,1,1
0.07,NoRider,Male,Other,NonSmoker,Young,EastCoast,-0.56,-0.4,0,1
0.07,Rider,Female,InfraAnnual,NonSmoker,Young,Other,-0.66,0.11,0,1
0.08,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.68,2.09,1,1
0.08,NoRider,Male,InfraAnnual,Smoker,Middle,Other,-0.54,2.09,1,1
0.08,NoRider,Male,InfraAnnual,NonSmoker,Young,EastCoast,1.2,2.09,1,1
0.08,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,0.4,1.97,1,1
0.08,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.52,0.67,1,1
0.08,Rider,Male,Annual,NonSmoker,Middle,Other,1.31,0.67,1,1
0.08,NoRider,Female,Annual,NonSmoker,Young,Other,2.53,2.09,1,1
0.08,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,0.46,-0.3,1,1
0.08,NoRider,Female,InfraAnnual,NonSmoker,Middle,EastCoast,-0.33,-0.3,1,1
0.08,NoRider,Male,Annual,Smoker,Young,Other,2.58,1.14,1,1
0.08,Rider,Female,InfraAnnual,NonSmoker,Middle,Other,0.29,1.68,1,1
0.08,NoRider,Female,InfraAnnual,Smoker,Young,Other,-0.69,1.16,1,1
0.09,Rider,Male,Other,NonSmoker,Young,Other,0.87,2.09,1,1
0.09,NoRider,Male,Annual,NonSmoker,Old,Other,0.24,2.09,1,1
0.09,Rider,Male,Annual,NonSmoker,Middle,Other,0.98,1.36,0,1
0.09,NoRider,Female,InfraAnnual,NonSmoker,Young,EastCoast,1.25,1.36,1,1
0.09,NoRider,Female,InfraAnnual,Smoker,Old,EastCoast,1.09,0.67,1,1
0.09,NoRider,Female,Annual,NonSmoker,Old,Other,0.75,0.09,1,1
0.09,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.77,0.09,1,1
0.09,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.17,0.09,1,1
0.09,NoRider,Female,Other,NonSmoker,Old,Other,-0.51,0.09,1,1
0.09,NoRider,Male,Other,NonSmoker,Young,WestCoast,1.64,0.92,1,1
0.09,NoRider,Female,Other,NonSmoker,Middle,Other,0.09,1.14,1,1
0.09,NoRider,Female,InfraAnnual,NonSmoker,Old,Other,-0.74,-0.16,1,1
0.09,NoRider,Female,Annual,Smoker,Young,EastCoast,1.89,-0.83,1,1
0.09,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,1.92,-0.36,1,1
0.1,NoRider,Female,Annual,Smoker,Middle,Other,-0.61,0.67,1,1
0.1,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.31,0.09,1,1
0.1,Rider,Female,Annual,Smoker,Old,Other,0.52,2.15,1,1
0.1,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,0.59,-0.16,1,1
0.1,NoRider,Male,InfraAnnual,Smoker,Young,EastCoast,-0.75,-0.16,1,1
0.1,NoRider,Male,InfraAnnual,NonSmoker,Middle,EastCoast,-0.85,-0.18,1,1
0.1,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,1.73,-1.31,1,1
0.1,Rider,Male,InfraAnnual,NonSmoker,Middle,EastCoast,-0.67,1.24,1,1
0.11,NoRider,Female,InfraAnnual,Smoker,Young,Other,0.57,2.09,1,1
0.11,NoRider,Male,Other,Smoker,Young,Other,-0.46,1.36,1,1
0.11,NoRider,Female,Annual,NonSmoker,Middle,Other,-0.62,1.06,1,1
0.11,NoRider,Male,InfraAnnual,Smoker,Young,Other,-0.81,0.67,1,1
0.11,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,-0.04,0.67,1,1
0.11,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.8,0.09,1,1
0.11,NoRider,Female,Annual,NonSmoker,Middle,EastCoast,-0.87,1.87,1,1
0.11,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,0.57,1.14,1,1
0.11,NoRider,Female,InfraAnnual,Smoker,Young,Other,-0.68,1.14,1,1
0.11,NoRider,Female,InfraAnnual,Smoker,Young,Other,2.17,-0.66,1,1
0.12,NoRider,Male,InfraAnnual,Smoker,Old,WestCoast,-0.48,2.09,1,1
0.12,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,0.69,2.09,1,1
0.12,NoRider,Female,Annual,NonSmoker,Middle,EastCoast,0.25,1.36,1,1
0.12,NoRider,Female,Other,NonSmoker,Old,EastCoast,-0.36,1.06,1,1
0.12,Rider,Female,Annual,NonSmoker,Young,Other,-0.29,1.06,1,1
0.12,NoRider,Male,Annual,NonSmoker,Young,Other,0.15,1.97,1,1
0.12,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,-0.61,0.67,1,1
0.12,NoRider,Female,InfraAnnual,Smoker,Middle,Other,-0.79,0.67,1,1
0.12,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.28,1.87,1,1
0.12,NoRider,Female,InfraAnnual,Smoker,Young,EastCoast,-0.37,0.92,1,1
0.12,NoRider,Male,Annual,Smoker,Middle,EastCoast,0.02,1.72,1,1
0.12,NoRider,Female,InfraAnnual,NonSmoker,Young,WestCoast,-0.9,1.72,1,1
0.13,Rider,Female,InfraAnnual,Smoker,Young,Other,2.0,2.09,1,1
0.13,Rider,Female,InfraAnnual,NonSmoker,Young,Other,-0.75,1.36,1,1
0.13,NoRider,Male,Other,NonSmoker,Middle,Other,2.32,1.97,1,1
0.13,Rider,Female,Annual,Smoker,Young,Other,2.06,0.09,1,1
0.13,NoRider,Male,Annual,NonSmoker,Old,Other,0.58,0.09,1,1
0.13,NoRider,Male,InfraAnnual,Smoker,Middle,Other,0.07,0.09,1,1
0.13,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,-1.04,2.09,1,1
0.13,NoRider,Male,InfraAnnual,NonSmoker,Young,EastCoast,-0.36,1.87,1,1
0.13,NoRider,Female,InfraAnnual,Smoker,Young,Other,0.34,0.92,1,1
0.13,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.35,2.15,1,1
0.13,NoRider,Male,Other,Smoker,Middle,EastCoast,-0.38,0.45,1,1
0.14,NoRider,Female,Annual,NonSmoker,Middle,Other,-0.42,2.09,1,1
0.14,Rider,Male,Annual,NonSmoker,Young,Other,0.9,0.67,1,1
0.14,NoRider,Male,InfraAnnual,NonSmoker,Old,Other,0.51,0.67,1,1
0.14,NoRider,Male,Other,NonSmoker,Middle,WestCoast,-0.13,0.67,1,1
0.14,NoRider,Male,InfraAnnual,Smoker,Young,Other,-0.14,0.67,1,1
0.14,NoRider,Female,Annual,NonSmoker,Young,Other,1.18,0.09,1,1
0.14,NoRider,Female,InfraAnnual,NonSmoker,Middle,EastCoast,-0.12,0.09,1,1
0.14,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,-0.55,0.09,1,1
0.14,NoRider,Male,InfraAnnual,Smoker,Middle,Other,-0.48,1.87,1,1
0.14,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,0.26,0.35,1,1
0.14,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,0.56,0.35,1,1
0.14,NoRider,Male,Annual,NonSmoker,Young,Other,-0.69,0.51,1,1
0.15,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.64,0.31,0,1
0.15,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,0.51,-0.3,1,1
0.15,NoRider,Male,InfraAnnual,NonSmoker,Young,EastCoast,-0.52,1.42,1,1
0.16,NoRider,Male,Annual,NonSmoker,Middle,Other,1.37,1.97,1,1
0.16,NoRider,Female,InfraAnnual,Smoker,Young,Other,-0.68,0.67,1,1
0.16,Rider,Male,Annual,NonSmoker,Middle,Other,-0.32,0.09,1,1
0.16,NoRider,Male,Annual,Smoker,Young,Other,-0.75,0.09,1,1
0.16,NoRider,Female,InfraAnnual,Smoker,Middle,Other,0.7,0.92,1,1
0.16,NoRider,Male,InfraAnnual,NonSmoker,Middle,WestCoast,0.03,-0.3,1,1
0.16,NoRider,Male,InfraAnnual,NonSmoker,Middle,EastCoast,-0.19,1.14,1,1
0.16,NoRider,Male,InfraAnnual,Smoker,Middle,Other,-0.51,1.2,1,1
0.16,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.6,-1.74,1,1
0.18,NoRider,Female,Other,Smoker,Middle,Other,0.55,1.36,1,1
0.18,Rider,Male,InfraAnnual,NonSmoker,Old,Other,-0.82,1.36,0,1
0.18,NoRider,Female,InfraAnnual,Smoker,Old,WestCoast,0.11,1.06,1,1
0.18,Rider,Female,Annual,NonSmoker,Young,Other,0.25,1.06,1,1
0.18,NoRider,Male,Other,NonSmoker,Young,EastCoast,2.6,1.87,1,1
0.18,NoRider,Male,Annual,Smoker,Middle,WestCoast,-0.91,1.87,0,1
0.18,NoRider,Male,Other,Smoker,Old,Other,1.46,1.68,0,1
0.19,NoRider,Female,InfraAnnual,Smoker,Young,Other,-0.08,2.09,1,1
0.19,NoRider,Female,Other,NonSmoker,Young,Other,2.64,1.36,1,1
0.19,NoRider,Female,InfraAnnual,NonSmoker,Old,Other,0.36,1.97,1,1
0.19,NoRider,Male,Annual,NonSmoker,Young,Other,0.01,0.67,1,1
0.19,NoRider,Male,InfraAnnual,Smoker,Old,EastCoast,1.23,0.67,1,1
0.19,NoRider,Female,InfraAnnual,Smoker,Old,Other,-0.79,0.67,1,1
0.19,NoRider,Female,InfraAnnual,NonSmoker,Old,Other,1.14,1.87,1,1
0.19,NoRider,Male,InfraAnnual,NonSmoker,Old,Other,-0.3,2.15,1,1
0.19,NoRider,Female,Other,NonSmoker,Young,Other,2.63,1.34,1,1
0.2,Rider,Male,Other,NonSmoker,Young,Other,-0.62,2.09,1,1
0.2,Rider,Female,InfraAnnual,Smoker,Middle,WestCoast,-0.13,1.06,1,1
0.2,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,0.96,1.06,1,1
0.2,NoRider,Female,Other,NonSmoker,Old,Other,-0.53,0.09,1,1
0.2,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,0.33,2.15,1,1
0.2,NoRider,Male,Other,NonSmoker,Middle,EastCoast,0.68,-0.66,1,1
0.21,NoRider,Male,Other,Smoker,Middle,EastCoast,-0.27,1.97,1,1
0.21,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,0.16,0.67,1,1
0.21,Rider,Male,InfraAnnual,NonSmoker,Old,Other,-0.68,0.67,1,1
0.21,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.48,0.67,1,1
0.21,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,0.19,0.67,1,1
0.21,NoRider,Female,Annual,NonSmoker,Young,Other,0.65,2.09,1,1
0.21,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.24,2.09,1,1
0.21,Rider,Female,InfraAnnual,Smoker,Young,Other,0.67,0.17,1,1
0.22,NoRider,Female,InfraAnnual,Smoker,Middle,Other,-0.7,1.36,1,1
0.22,NoRider,Female,InfraAnnual,NonSmoker,Young,EastCoast,0.96,1.36,1,1
0.22,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,0.1,1.06,1,1
0.22,NoRider,Male,Annual,NonSmoker,Old,EastCoast,0.92,1.97,1,1
0.22,NoRider,Male,Annual,NonSmoker,Young,Other,-0.92,1.14,1,1
0.22,Rider,Male,InfraAnnual,Smoker,Young,Other,0.06,1.34,1,1
0.22,NoRider,Female,InfraAnnual,Smoker,Young,Other,-0.75,1.16,1,1
0.23,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,0.49,2.09,0,1
0.23,NoRider,Female,Other,NonSmoker,Young,EastCoast,-0.44,1.36,1,1
0.23,NoRider,Female,Other,Smoker,Middle,Other,0.4,1.36,1,1
0.23,NoRider,Female,Other,NonSmoker,Middle,Other,0.32,1.06,1,1
0.23,NoRider,Male,InfraAnnual,Smoker,Middle,EastCoast,-0.46,0.67,1,1
0.23,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,0.46,0.67,1,1
0.23,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.48,1.87,1,1
0.23,Rider,Female,InfraAnnual,Smoker,Young,Other,1.6,1.14,1,1
0.23,NoRider,Male,InfraAnnual,NonSmoker,Middle,EastCoast,-0.53,-0.83,1,1
0.24,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.53,1.14,1,1
0.24,NoRider,Male,InfraAnnual,Smoker,Middle,Other,-0.15,0.49,0,1
0.24,NoRider,Female,InfraAnnual,NonSmoker,Old,Other,0.31,-1.96,1,1
0.25,Rider,Male,Other,NonSmoker,Middle,EastCoast,-0.87,2.09,1,1
0.25,NoRider,Female,Annual,NonSmoker,Young,Other,-0.53,1.97,1,1
0.25,Rider,Male,Annual,Smoker,Young,EastCoast,0.26,1.97,1,1
0.25,NoRider,Female,InfraAnnual,Smoker,Young,Other,-0.11,1.97,1,1
0.25,Rider,Male,InfraAnnual,NonSmoker,Young,Other,2.84,0.67,1,1
0.25,NoRider,Male,InfraAnnual,NonSmoker,Young,WestCoast,0.1,0.09,1,1
0.25,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,-0.48,-0.3,0,1
0.26,NoRider,Male,InfraAnnual,NonSmoker,Old,Other,0.16,2.09,1,1
0.26,NoRider,Female,InfraAnnual,NonSmoker,Middle,EastCoast,2.52,1.06,1,1
0.26,NoRider,Female,Other,NonSmoker,Old,EastCoast,-0.48,1.36,0,1
0.26,NoRider,Male,InfraAnnual,Smoker,Young,Other,-0.78,1.06,1,1
0.26,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.02,-0.3,1,1
0.26,NoRider,Male,Annual,Smoker,Young,EastCoast,-1.06,-0.66,1,1
0.27,NoRider,Male,InfraAnnual,Smoker,Old,Other,0.97,1.36,1,1
0.27,NoRider,Male,InfraAnnual,NonSmoker,Old,Other,-0.28,1.06,1,1
0.27,Rider,Female,InfraAnnual,NonSmoker,Middle,Other,-0.37,1.97,1,1
0.27,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.06,0.09,1,1
0.27,NoRider,Female,Annual,NonSmoker,Old,Other,0.89,2.15,0,1
0.27,Rider,Male,InfraAnnual,NonSmoker,Middle,Other,1.25,-0.3,1,1
0.27,Rider,Female,InfraAnnual,Smoker,Old,Other,0.09,0.49,0,1
0.27,NoRider,Female,Other,NonSmoker,Young,Other,2.14,0.31,1,1
0.27,NoRider,Male,InfraAnnual,Smoker,Middle,EastCoast,0.34,1.16,0,1
0.27,NoRider,Male,Other,NonSmoker,Young,Other,0.71,-0.36,1,1
0.27,Rider,Female,InfraAnnual,NonSmoker,Old,Other,1.76,-0.54,0,1
0.29,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.15,1.06,1,1
0.29,Rider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.1,0.92,0,1
0.3,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,0.06,1.36,1,1
0.3,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,0.93,1.06,1,1
0.3,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.15,0.67,1,1
0.3,NoRider,Male,InfraAnnual,NonSmoker,Old,Other,0.04,0.09,1,1
0.3,Rider,Female,InfraAnnual,NonSmoker,Middle,Other,-0.11,1.87,1,1
0.3,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,0.49,2.15,1,1
0.3,NoRider,Female,InfraAnnual,Smoker,Young,Other,-0.11,1.72,1,1
0.3,NoRider,Male,InfraAnnual,Smoker,Young,EastCoast,0.37,2.43,1,1
0.3,NoRider,Female,Annual,Smoker,Middle,Other,-0.3,-0.2,1,1
0.31,NoRider,Male,InfraAnnual,Smoker,Young,Other,1.78,1.36,1,1
0.31,Rider,Female,InfraAnnual,Smoker,Middle,EastCoast,0.41,1.97,1,1
0.31,Rider,Male,InfraAnnual,NonSmoker,Young,Other,-0.16,1.68,1,1
0.31,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.27,0.98,1,1
0.31,NoRider,Male,InfraAnnual,Smoker,Middle,EastCoast,0.44,-0.4,1,1
0.31,NoRider,Male,Other,Smoker,Middle,Other,-0.47,0.71,1,1
0.31,NoRider,Female,Annual,NonSmoker,Young,WestCoast,0.86,1.2,0,1
0.32,NoRider,Male,Annual,NonSmoker,Middle,Other,0.81,1.36,1,1
0.32,Rider,Male,InfraAnnual,NonSmoker,Young,Other,-0.08,2.09,1,1
0.32,NoRider,Female,InfraAnnual,Smoker,Middle,EastCoast,2.21,1.06,1,1
0.32,NoRider,Male,InfraAnnual,Smoker,Young,Other,0.01,1.06,1,1
0.32,NoRider,Female,InfraAnnual,Smoker,Middle,Other,1.61,2.15,1,1
0.32,NoRider,Male,InfraAnnual,NonSmoker,Old,Other,0.14,1.14,1,1
0.32,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.58,0.49,1,1
0.32,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.01,-0.3,0,1
0.32,Rider,Male,Other,NonSmoker,Old,EastCoast,-0.25,-0.66,0,1
0.32,NoRider,Male,Annual,Smoker,Young,Other,-0.56,1.24,1,1
0.33,Rider,Male,InfraAnnual,NonSmoker,Old,Other,-0.73,1.06,0,1
0.33,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,0.41,1.36,1,1
0.33,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,4.07,1.06,1,1
0.33,NoRider,Male,InfraAnnual,Smoker,Young,Other,-0.79,1.06,1,1
0.33,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.53,1.97,1,1
0.33,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,-0.49,0.67,1,1
0.33,NoRider,Female,InfraAnnual,Smoker,Young,Other,0.03,2.09,1,1
0.33,NoRider,Female,InfraAnnual,Smoker,Young,Other,0.8,0.98,0,1
0.34,NoRider,Female,InfraAnnual,Smoker,Middle,Other,-0.09,2.09,1,1
0.34,NoRider,Female,Other,Smoker,Young,Other,4.08,0.92,1,1
0.34,NoRider,Male,Annual,NonSmoker,Middle,EastCoast,-0.57,-0.16,1,1
0.34,NoRider,Male,InfraAnnual,Smoker,Young,Other,-0.86,-0.18,1,1
0.35,NoRider,Female,InfraAnnual,NonSmoker,Young,EastCoast,1.21,1.06,1,1
0.35,NoRider,Male,Other,NonSmoker,Young,Other,1.49,1.06,1,1
0.35,NoRider,Male,Annual,NonSmoker,Middle,Other,0.34,1.97,1,1
0.35,NoRider,Female,InfraAnnual,NonSmoker,Old,Other,0.07,2.43,1,1
0.35,Rider,Male,Other,NonSmoker,Old,Other,-0.16,1.2,0,1
0.36,NoRider,Male,InfraAnnual,NonSmoker,Middle,EastCoast,0.72,1.36,1,1
0.36,NoRider,Male,Annual,Smoker,Young,Other,-0.81,1.36,1,1
0.36,NoRider,Female,Annual,Smoker,Young,Other,0.74,1.06,1,1
0.36,NoRider,Female,Annual,NonSmoker,Middle,EastCoast,-0.4,0.67,1,1
0.36,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.88,0.09,1,1
0.36,NoRider,Female,InfraAnnual,Smoker,Old,Other,-0.94,0.67,1,1
0.36,NoRider,Male,InfraAnnual,Smoker,Young,Other,-0.31,2.09,1,1
0.36,NoRider,Female,InfraAnnual,NonSmoker,Old,Other,-0.78,-1.11,1,1
0.36,NoRider,Female,InfraAnnual,Smoker,Middle,Other,-0.64,0.45,1,1
0.37,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,0.47,1.36,1,1
0.37,Rider,Male,InfraAnnual,NonSmoker,Young,Other,-0.69,1.36,1,1
0.37,NoRider,Female,Other,Smoker,Young,EastCoast,-0.5,0.67,1,1
0.37,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.65,0.31,1,1
0.37,NoRider,Male,InfraAnnual,Smoker,Young,Other,-0.38,0.98,1,1
0.38,NoRider,Male,InfraAnnual,NonSmoker,Old,EastCoast,-0.68,2.09,1,1
0.38,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,1.84,1.36,1,1
0.38,Rider,Female,InfraAnnual,NonSmoker,Young,Other,-0.13,1.06,1,1
