policy_year,exposure,insured_birth_year,vehicle_age,policy_holder_age,driver_license_age,vehicle_brand,vehicle_model,mileage,vehicle_power,catalog_value,claim_responsibility_rate,driving_training_label,number_of_liability_claims
1,0.202739726,1949,2,2,41,NISSAN,NI-2525,30000,110,988496,0,No,0
1,0.6547945205,1946,19,4,40,TOYOTA,TO-1471,30000,55,0,100,No,1
1,0.3616438356,1945,13,6,43,ROVER,RO-609,30000,82,0,0,No,0
1,0.3835616438,1942,7,4,34,MERCEDES,ME-2295,30000,120,1411900,100,No,0
1,0.8630136986,1934,9,1,38,RENAULT,RE-1406,30000,55,0,100,No,1
1,0.4493150685,1946,3,3,39,VOLVO,VO-3061,30000,93,1363976,100,No,0
1,0.2493150685,1933,12,6,45,MERCEDES,ME-1429,30000,100,0,0,No,0
1,0.8794520548,1949,15,3,16,MAZDA,MA-488,30000,65,0,0,No,0
1,0.9643835616,1949,2,0,40,MERCEDES,ME-1126,30000,80,937985,0,No,0
1,0.2794520548,1947,2,2,41,VOLVO,VO-2673,30000,103,1015167,0,No,0
1,0.3753424658,1937,2,9,20,SKODA,SK-2380,30000,77,683446,100,No,0
1,0.3534246575,1929,11,11,18,PEUGEOT,PE-730,30000,80,900828,100,No,1
1,0.4,1949,3,3,32,CITROEN,CI-1263,30000,100,1165025,0,No,0
1,0.2630136986,1943,15,11,42,AUDI,AU-30,30000,98,0,50,No,1
1,0.9068493151,1928,8,12,41,MERCEDES,ME-156,30000,92,1046984,0,No,0
1,0.2136986301,1940,8,26,46,VOLKSWAGEN,VO-1174,30000,81,0,100,No,1
1,0.2246575342,1947,6,3,32,OPEL,OP-1043,30000,44,0,100,No,1
1,0.2356164384,1942,2,6,45,MERCEDES,ME-270,30000,120,1823246,100,No,0
1,0.2438356164,1937,4,5,39,CHEVROLET,CH-2060,30000,53,329981,0,No,0
1,0.2383561644,1941,8,6,35,VOLKSWAGEN,VO-2418,30000,96,0,100,No,1
1,0.2410958904,1941,8,8,45,MAZDA,MA-741,30000,81,635738,0,No,0
1,0.2191780822,1947,14,4,41,RENAULT,RE-3038,30000,40,0,100,No,1
1,0.2465753425,1937,5,10,41,PEUGEOT,PE-2413,30000,66,537755,100,No,1
1,0.2164383562,1944,2,9,45,PEUGEOT,PE-240,30000,50,563388,0,No,0
1,0.2410958904,1947,1,8,41,CITROEN,CI-1258,30000,50,595098,100,No,0
1,0.2438356164,1944,2,21,45,FIAT,FI-2410,30000,44,352891,100,No,1
1,0.2438356164,1923,4,12,42,OPEL,OP-1496,30000,59,0,100,No,1
1,0.2493150685,1933,1,19,39,FIAT,FI-2744,30000,79,531921,0,No,0
1,0.2465753425,1931,3,8,41,TOYOTA,TO-3230,30000,64,496746,100,No,1
1,0.2465753425,1946,7,8,42,CITROEN,CI-1258,30000,50,0,0,No,0
1,0.2438356164,1947,11,2,19,TOYOTA,TO-1471,30000,63,0,100,No,1
1,0.2493150685,1944,1,16,42,VOLKSWAGEN,VO-2461,30000,59,532165,0,No,0
1,0.2164383562,1940,3,16,49,PEUGEOT,PE-429,30000,80,626802,100,No,0
1,0.2273972603,1931,17,8,58,VOLKSWAGEN,VO-1852,30000,66,445001,100,No,1
1,0.2465753425,1944,16,6,42,TOYOTA,TO-1290,30000,54,0,100,No,1
1,0.2465753425,1944,1,11,41,HYUNDAI,HY-1979,30000,80,633404,0,No,0
1,0.2493150685,1935,1,5,38,RENAULT,RE-1406,30000,74,535421,0,No,0
1,0.2465753425,1936,12,1,30,VOLKSWAGEN,VO-2461,30000,37,0,100,No,1
1,0.2164383562,1936,11,10,41,PEUGEOT,PE-576,30000,81,0,100,No,1
1,0.2493150685,1930,1,6,24,FORD,FO-2050,30000,44,0,0,No,0
1,0.2438356164,1949,8,15,20,MERCEDES,ME-270,30000,100,766782,0,No,0
1,0.2219178082,1947,3,2,39,PEUGEOT,PE-240,30000,65,475245,100,No,1
1,0.2136986301,1944,1,14,45,MERCEDES,ME-270,30000,120,1390229,100,No,1
1,0.2136986301,1948,6,5,40,MERCEDES,ME-270,30000,100,1063080,0,No,0
1,0.2246575342,1944,10,5,40,AUDI,AU-953,30000,81,0,100,No,1
1,0.2246575342,1948,2,10,27,CITROEN,CI-1262,30000,80,0,50,No,0
1,0.2164383562,1931,4,15,58,NISSAN,NI-1013,30000,60,514738,0,No,0
1,0.2,1944,4,9,40,CHRYSLER,CH-1526,30000,160,0,100,No,1
1,0.2136986301,1936,15,0,22,PEUGEOT,PE-205,30000,65,0,100,No,1
1,0.2164383562,1931,7,12,41,TOYOTA,TO-1471,30000,81,621769,100,No,1
1,0.2109589041,1937,5,3,42,PEUGEOT,PE-429,30000,100,774994,100,No,0
1,0.2301369863,1935,4,20,44,CITROEN,CI-1258,30000,54,444073,0,No,0
1,0.2219178082,1948,17,2,34,PEUGEOT,PE-205,30000,35,0,0,No,0
1,0.2191780822,1949,3,15,39,KIA,KI-2608,30000,71,466410,0,No,0
1,0.2246575342,1938,9,17,20,BMW,BM-474,30000,100,0,0,No,0
1,0.2191780822,1943,5,8,41,PEUGEOT,PE-225,30000,44,392427,100,No,1
1,0.2136986301,1938,11,2,42,FORD,FO-1749,30000,44,430024,100,No,1
1,0.2356164384,1948,12,6,25,HONDA,HO-1348,30000,66,0,100,No,1
1,0.2356164384,1940,3,8,41,TOYOTA,TO-1471,30000,66,664929,100,No,0
1,0.2356164384,1934,13,8,42,RENAULT,RE-151,30000,47,0,0,No,0
1,0.2356164384,1949,9,18,40,CITROEN,CI-3212,30000,66,0,100,No,1
1,0.2246575342,1948,7,4,40,RENAULT,RE-2214,30000,68,595780,100,No,1
1,0.2109589041,1943,5,10,41,FORD,FO-1785,30000,100,821806,100,No,0
1,0.2438356164,1930,16,8,33,RENAULT,RE-151,30000,43,0,100,No,1
1,0.2328767123,1934,14,16,55,RENAULT,RE-151,30000,43,0,0,No,0
1,0.304109589,1942,1,2,2,CITROEN,CI-1258,30000,44,436738,0,No,0
1,0.301369863,1933,11,25,20,VOLKSWAGEN,VO-2461,30000,44,0,100,No,1
1,0.2383561644,1932,1,11,41,FORD,FO-1785,30000,85,0,100,No,1
1,0.3698630137,1944,8,13,38,BMW,BM-474,30000,100,0,0,No,0
1,0.3808219178,1946,2,2,37,RENAULT,RE-2086,30000,84,903149,100,No,0
1,0.3780821918,1935,6,6,40,VOLKSWAGEN,VO-2461,30000,47,0,0,No,0
1,0.3808219178,1944,7,2,45,CHRYSLER,CH-3117,30000,105,0,0,No,1
1,0.3452054795,1944,3,2,42,OPEL,OP-1043,30000,66,667443,100,No,0
1,0.3671232877,1942,1,16,42,OPEL,OP-1496,30000,44,338389,100,No,0
1,0.3643835616,1943,1,1,42,RENAULT,RE-3038,30000,43,363705,100,No,1
1,0.3808219178,1948,2,12,39,VOLVO,VO-3179,30000,136,1486579,0,No,0
1,0.3178082192,1940,2,18,49,PEUGEOT,PE-2413,30000,55,524420,0,No,0
1,0.3424657534,1936,1,8,41,VOLKSWAGEN,VO-2461,30000,74,588840,100,No,0
1,0.2712328767,1946,6,9,39,RENAULT,RE-1406,30000,43,0,0,No,0
1,0.2109589041,1932,2,1,42,RENAULT,RE-2086,30000,85,801757,0,No,0
1,0.3808219178,1932,13,2,59,FIAT,FI-2191,30000,76,0,100,No,1
1,0.3863013699,1937,1,22,41,VOLKSWAGEN,VO-1852,30000,77,726926,0,No,0
1,0.3808219178,1947,4,3,25,FORD,FO-1785,30000,80,0,100,No,1
1,0.2136986301,1948,4,4,41,PEUGEOT,PE-2413,30000,51,505306,100,No,1
1,0.2630136986,1939,4,3,18,FORD,FO-1785,30000,66,0,0,No,0
1,0.3808219178,1942,8,8,44,OPEL,OP-3074,30000,74,692563,0,No,0
1,0.2849315068,1929,9,10,60,VOLKSWAGEN,VO-1174,30000,66,0,100,No,1
1,0.2849315068,1949,15,14,40,TOYOTA,TO-1322,30000,78,512963,0,No,0
1,0.2876712329,1928,6,12,19,BMW,BM-474,30000,120,1108416,0,No,0
1,0.2301369863,1949,6,4,37,DAEWOO,DA-2060,30000,53,316669,0,No,0
1,0.3616438356,1938,4,8,42,FIAT,FI-2513,30000,44,403399,0,No,0
1,0.2904109589,1947,9,2,24,RENAULT,RE-3038,30000,43,0,0,No,0
1,0.2520547945,1936,6,9,32,OPEL,OP-1043,30000,59,556425,0,No,0
1,0.3643835616,1935,4,10,40,MERCEDES,ME-1429,30000,120,1465229,0,No,0
1,0.3397260274,1930,6,12,42,RENAULT,RE-2061,30000,60,0,100,No,1
1,0.3479452055,1926,19,21,34,MAZDA,MA-488,30000,55,0,100,No,1
1,0.3506849315,1933,5,17,56,FORD,FO-1749,30000,51,0,100,No,1
1,0.3616438356,1937,7,4,40,TOYOTA,TO-1471,30000,71,507917,100,No,0
1,0.3534246575,1948,7,15,22,TOYOTA,TO-1100,30000,81,0,0,No,0
1,0.3589041096,1927,3,5,41,SKODA,SK-1735,30000,47,411064,100,No,1
1,0.3616438356,1943,4,16,41,CITROEN,CI-1263,30000,80,846776,100,No,1
1,0.2849315068,1947,12,10,32,FIAT,FI-1186,30000,74,0,100,No,1
1,0.2547945205,1949,5,6,40,HONDA,HO-983,30000,103,888647,0,No,0
1,0.2712328767,1949,10,0,39,VOLKSWAGEN,VO-1852,30000,81,0,0,No,0
1,0.3698630137,1943,2,6,41,RENAULT,RE-2214,30000,82,636766,0,No,0
1,0.3698630137,1938,10,5,41,SUZUKI,SU-2935,30000,39,0,100,No,1
1,0.3506849315,1947,4,1,35,CITROEN,CI-1158,30000,51,463910,100,No,1
1,0.3753424658,1947,14,16,20,RENAULT,RE-151,30000,57,0,0,No,0
1,0.3506849315,1930,13,8,59,PEUGEOT,PE-576,30000,65,545997,100,No,1
1,0.3643835616,1938,3,3,42,RENAULT,RE-2310,30000,63,617101,0,No,0
1,0.3589041096,1936,10,8,42,MERCEDES,ME-270,30000,92,1215002,100,No,0
1,0.3452054795,1935,8,1,40,SUZUKI,SU-3124,30000,56,403400,100,No,1
1,0.3780821918,1940,10,10,42,MERCEDES,ME-270,30000,92,1113413,0,No,0
1,0.3671232877,1947,6,20,16,OPEL,OP-1043,30000,66,0,0,No,0
1,0.3616438356,1948,3,12,37,OPEL,OP-3248,30000,74,885503,100,No,1
1,0.3698630137,1926,5,22,41,CITROEN,CI-1243,30000,44,392064,100,No,1
1,0.3589041096,1947,6,2,38,SUZUKI,SU-3124,30000,56,363019,100,No,1
1,0.3945205479,1949,12,13,39,RENAULT,RE-2214,30000,55,476872,100,No,1
1,0.3835616438,1935,4,11,14,OPEL,OP-1496,30000,51,608730,100,No,1
1,0.3890410959,1944,11,8,41,MERCEDES,ME-270,30000,92,1106399,100,No,1
1,0.3342465753,1929,7,9,41,FORD,FO-1749,30000,59,481579,0,No,0
1,0.3452054795,1934,18,25,55,DAIHATSU,DA-1333,30000,38,0,0,No,0
1,0.2602739726,1949,6,7,33,CITROEN,CI-3212,30000,66,578428,100,No,1
1,0.2,1945,20,11,40,PEUGEOT,PE-205,30000,33,0,0,No,0
1,0.2383561644,1943,0,0,40,RENAULT,RE-1406,30000,74,638420,100,No,1
1,0.2739726027,1944,4,1,42,CITROEN,CI-3212,30000,80,798465,100,No,0
1,0.3753424658,1936,8,7,40,TOYOTA,TO-3230,30000,50,357896,0,No,0
1,0.4082191781,1947,3,2,37,OPEL,OP-1496,30000,51,522080,0,No,0
1,0.3890410959,1945,5,5,14,OPEL,OP-994,30000,51,426071,0,No,0
1,0.3917808219,1931,7,13,20,TOYOTA,TO-1471,30000,71,0,100,No,1
1,0.4054794521,1926,6,23,42,OPEL,OP-1496,30000,55,0,100,No,1
1,0.2739726027,1938,3,2,41,CITROEN,CI-1258,30000,54,475084,100,No,0
1,0.3287671233,1948,9,21,41,OPEL,OP-1496,30000,66,425000,0,No,0
1,0.3726027397,1938,5,4,20,OPEL,OP-1496,30000,44,370394,100,No,1
1,0.4054794521,1949,2,3,19,HYUNDAI,HY-1080,30000,46,300008,100,No,1
1,0.4191780822,1948,7,2,42,PEUGEOT,PE-225,30000,55,0,0,No,0
1,0.4054794521,1943,10,8,20,OPEL,OP-1043,30000,50,536364,100,No,1
1,0.4082191781,1946,7,3,41,CITROEN,CI-2719,30000,44,0,0,No,0
1,0.4,1932,10,10,41,OPEL,OP-1496,30000,40,0,100,No,1
1,0.3369863014,1932,4,4,42,VOLKSWAGEN,VO-2461,30000,51,465028,100,No,1
1,0.3835616438,1944,4,27,45,FORD,FO-1749,30000,51,0,100,No,1
1,0.3808219178,1939,10,10,45,OPEL,OP-1043,30000,66,0,0,No,0
1,0.3835616438,1933,7,11,20,OPEL,OP-1496,30000,55,454741,0,No,0
1,0.3780821918,1927,16,23,41,PEUGEOT,PE-48,30000,37,0,100,No,1
1,0.3808219178,1932,8,10,42,PEUGEOT,PE-396,30000,72,739597,100,No,1
1,0.3753424658,1931,4,10,38,VOLKSWAGEN,VO-2461,30000,47,0,100,No,1
1,0.4,1949,6,5,39,ROVER,RO-800,30000,96,1246199,0,No,0
1,0.402739726,1940,2,10,41,OPEL,OP-3248,30000,74,807405,0,No,0
1,0.3917808219,1945,7,1,40,AUDI,AU-3030,30000,132,0,100,No,0
1,0.3917808219,1936,15,30,20,TOYOTA,TO-1471,30000,65,0,0,No,0
1,0.3424657534,1948,8,3,41,VOLKSWAGEN,VO-2461,30000,55,0,100,No,1
1,0.4,1946,2,13,35,FORD,FO-1749,30000,44,479412,0,No,0
1,0.4,1943,4,5,19,PEUGEOT,PE-600,30000,100,931773,100,No,1
1,0.2,1944,3,9,40,OPEL,OP-2246,30000,55,543089,100,No,1
1,0.397260274,1921,3,3,4,RENAULT,RE-1406,30000,63,575428,0,No,0
1,0.3890410959,1938,19,13,24,FORD,FO-1749,30000,39,0,0,No,0
1,0.402739726,1939,10,20,44,CITROEN,CI-1158,30000,55,0,0,No,0
1,0.397260274,1949,12,25,29,HONDA,HO-983,30000,85,711901,100,No,0
1,0.4054794521,1928,6,15,20,HYUNDAI,HY-1836,30000,60,410903,100,No,0
1,0.3424657534,1935,14,5,23,RENAULT,RE-1406,30000,40,0,0,No,0
1,0.3616438356,1945,3,5,41,OPEL,OP-2246,30000,55,550590,100,No,0
1,0.3232876712,1935,15,12,42,OPEL,OP-1043,30000,60,0,100,No,1
1,0.301369863,1945,3,23,40,TOYOTA,TO-1471,30000,100,850109,100,No,0
1,0.3150684932,1934,13,9,40,FORD,FO-1828,30000,85,688300,100,No,1
1,0.3068493151,1938,19,8,41,VOLKSWAGEN,VO-2461,30000,33,0,100,No,1
1,0.2904109589,1947,2,2,34,OPEL,OP-2246,30000,74,631038,0,No,0
1,0.295890411,1925,2,11,41,RENAULT,RE-1406,30000,48,423691,100,No,1
1,0.2246575342,1936,11,8,41,FORD,FO-1673,30000,41,0,100,No,1
1,0.2410958904,1941,0,17,41,CITROEN,CI-1262,30000,65,632771,0,No,0
1,0.3150684932,1932,7,8,42,RENAULT,RE-1406,30000,55,309918,0,No,0
1,0.3287671233,1933,18,15,56,MERCEDES,ME-156,30000,90,0,0,No,0
1,0.3315068493,1941,11,22,19,OPEL,OP-1043,30000,48,0,100,No,1
1,0.3369863014,1926,10,20,41,CITROEN,CI-2719,30000,55,0,0,No,0
1,0.3342465753,1946,3,13,42,MITSUBISHI,MI-1441,30000,70,449740,0,No,0
1,0.3068493151,1947,10,6,20,RENAULT,RE-2214,30000,70,0,100,No,1
1,0.3315068493,1943,2,11,42,CITROEN,CI-1158,30000,55,588430,0,No,0
1,0.3287671233,1930,10,2,42,PEUGEOT,PE-396,30000,55,435001,100,No,1
1,0.2602739726,1942,3,1,49,AUDI,AU-968,30000,171,1734620,0,No,0
1,0.3397260274,1925,9,29,41,PEUGEOT,PE-48,30000,44,0,0,No,0
1,0.304109589,1930,20,12,20,RENAULT,RE-151,30000,57,0,100,No,1
1,0.3315068493,1948,10,9,36,PEUGEOT,PE-48,30000,42,329752,100,No,1
1,0.3260273973,1935,5,9,42,RENAULT,RE-2228,30000,85,773461,0,No,0
1,0.3342465753,1937,6,1,41,RENAULT,RE-1406,30000,55,0,100,No,0
